laser_offset,humidity,temperature,pressure,counts_ratio,n_1762
-154.19742666722414,33.19089750208814,17.811743417201797,997.6171338444124,2.2584877997865873,1.0002671206995528
-11.087611596849456,33.43684923458911,17.760244488395983,997.7013871921004,2.2584859000074085,1.0002680313195298
-101.48410700594468,33.27681069545737,17.78599394916091,997.614986684875,2.2584871000125397,1.0002674535982734
-101.46816211431542,33.65905336356148,17.775694163981825,997.5316317435296,2.258487099903996,1.0002674380108174
-3.544695658774799,33.562580080910195,17.73964492502273,997.4265954067988,2.2584857998879584,1.000268020134782
-161.74320558093314,33.52266326746522,17.73964492502273,997.5017010159704,2.2584879000203775,1.0002671105140037
-78.87878217616162,33.53427192255954,17.71904536630609,996.9964232394976,2.2584867999373297,1.0002674810297265
-11.082196238021425,33.49476630973426,17.693295924458653,997.038561905356,2.2584858998938797,1.0002679154954086
-41.21785664779054,33.68272480599002,17.703595700324513,997.1939522690438,2.2584863000209454,1.000267769007875
-154.2029307017856,33.534543510424314,17.703595700324513,997.1939522690438,2.258487799894676,1.0002671058397201
-18.608895771876632,33.751210678872575,17.703595700324513,997.3050785271416,2.2584859999041607,1.000267931321251
-78.8714819748293,33.665752132190065,17.698445812246064,997.3246163018376,2.2584867998846967,1.0002675877597988
-124.08016129938916,33.688624760180936,17.693295924458653,997.3997160419964,2.25848740005372,1.0002673468336793
-33.69387209772867,33.53461138050301,17.698445812246064,997.4635234792668,2.258486200104614,1.0002678917714116
-154.20398582932648,33.574389500077835,17.708745588694,997.202194967188,2.2584877999227917,1.0002671029040686
-199.39375025046505,33.700423145489495,17.66239660384599,997.016893278246,2.2584883998417737,1.0002668299606057
-33.679821655141495,33.93397244724718,17.67784626284265,997.0642105124844,2.2584862000067916,1.0002678007060741
-63.8151372527318,33.6660173495394,17.66239660384599,997.155791416336,2.2584865999835544,1.0002676647516102
-3.542958722846379,33.68364980507037,17.63664717800566,997.0312429534756,2.258485799838251,1.0002680096863696
-86.40769311796248,33.83161110576258,17.65724671809585,997.028189437239,2.2584868999474894,1.000267501151497
-26.154082206630846,33.57486116154331,17.67784626284265,997.1249588747664,2.2584860999988696,1.000267864048348
-78.87718268762,33.93998861597984,17.652096832636744,997.167085332761,2.258486800012755,1.000267586831761
-161.73598439195302,33.814701958209426,17.64179706259165,997.0394847987532,2.258487899946446,1.0002670759566372
-33.68827600525037,33.72932160884922,17.63149729371071,996.812073826809,2.258486200028622,1.000267777943106
-139.15184584334384,33.740526969995656,17.646946947468678,996.8810535158408,2.2584876001074328,1.0002671618166308
-11.082536815365527,33.83161110576258,17.65724671809585,996.8975345493312,2.2584858999741306,1.0002679088619544
-139.14936423020663,33.3586171947976,17.64179706259165,996.8450344843416,2.2584875999603846,1.0002671598909858
-139.13575838842007,33.826874537473486,17.579998466768302,997.0208624551055,2.2584875998966503,1.0002672618738517
-86.41395555741838,33.399150768919455,17.595448111795122,996.9930858475122,2.258486899878156,1.0002675530909342
-169.269567692254,33.72984486559407,17.590298229828477,997.0764157274072,2.2584879999128264,1.0002670907024613
-3.553239110942741,33.96936803956452,17.579998466768302,997.0794642396364,2.258485800035142,1.0002680737345113
-56.278658689734584,33.60443919467972,17.590298229828477,996.9292913448908,2.2584864998756347,1.0002677163819296
-3.551837608029018,33.74176665170461,17.549099184572697,996.918910607135,2.2584857999306904,1.0002680613199857
-11.083212115181595,33.84403806972613,17.574848585674772,996.912808744808,2.258485899952258,1.0002679903891791
-161.739124706628,33.95790610532662,17.574848585674772,996.9323431237244,2.2584878999959637,1.0002671089939548
-176.81132959523893,33.69590674988669,17.56969870487228,996.832534790549,2.2584881000028987,1.0002670003381122
-78.88250706855615,33.83315120122272,17.528499668929726,996.0527463973284,2.2584867999493383,1.0002674038566126
-78.8808372647054,33.52558096055105,17.51819991285447,996.0362776000484,2.258486799833905,1.000267411445746
-11.086709179153331,33.87906227181333,17.507900157943368,995.8531769455726,2.2584858999321447,1.0002677677465297
-11.08410458527942,33.93009993008977,17.528499668929726,995.7780934352522,2.2584858999175252,1.000267727786328
-26.145068176219866,33.803881560380454,17.595448111795122,995.0878693920604,2.258486099817748,1.000267391435959
-18.618781922441485,33.44661124873824,19.135275872889903,982.6150626847306,2.2584859999194205,1.000262658955827
-86.37221114327076,34.73821789907789,19.22797536442522,982.1288399834492,2.258486899801209,1.0002620344493878
